ApplicableAt,ApplicableFor,Value,GeneratedTimeStamp,QualityIndicator,Substituted,CreatedDate,LDZ
2022-02-12 11:38:00+00:00,2022-02-11 00:00:00+00:00,12.51,2022-02-12 11:50:00+00:00, ,N,2022-02-12 11:48:10+00:00,EA
2022-02-13 11:38:00+00:00,2022-02-12 00:00:00+00:00,13.99,2022-02-13 11:50:00+00:00, ,N,2022-02-13 11:48:09+00:00,EA
2022-02-14 11:38:00+00:00,2022-02-13 00:00:00+00:00,9.12,2022-02-14 11:50:00+00:00, ,N,2022-02-14 11:48:10+00:00,EA
2022-02-15 11:38:00+00:00,2022-02-14 00:00:00+00:00,12.38,2022-02-15 11:50:00+00:00, ,N,2022-02-15 11:48:09+00:00,EA
2022-02-16 11:38:00+00:00,2022-02-15 00:00:00+00:00,-2.21,2022-02-16 11:50:00+00:00, ,N,2022-02-16 11:48:10+00:00,EA
2022-02-17 11:38:00+00:00,2022-02-16 00:00:00+00:00,14.45,2022-02-17 11:50:00+00:00, ,N,2022-02-17 11:48:10+00:00,EA
2022-02-18 11:38:00+00:00,2022-02-17 00:00:00+00:00,6.4,2022-02-18 11:50:00+00:00, ,N,2022-02-18 11:48:12+00:00,EA
2022-02-19 11:38:00+00:00,2022-02-18 00:00:00+00:00,9.57,2022-02-19 11:50:00+00:00, ,N,2022-02-19 11:48:09+00:00,EA
2022-02-20 11:38:00+00:00,2022-02-19 00:00:00+00:00,15.89,2022-02-20 11:50:00+00:00, ,N,2022-02-20 11:48:10+00:00,EA
2022-02-21 11:38:00+00:00,2022-02-20 00:00:00+00:00,10.41,2022-02-21 11:50:00+00:00, ,N,2022-02-21 11:48:09+00:00,EA
2022-02-22 11:38:00+00:00,2022-02-21 00:00:00+00:00,13.3,2022-02-22 11:50:00+00:00, ,N,2022-02-22 11:48:10+00:00,EA
2022-02-23 11:38:00+00:00,2022-02-22 00:00:00+00:00,10.68,2022-02-23 11:50:00+00:00, ,N,2022-02-23 11:48:09+00:00,EA
2022-02-24 11:38:00+00:00,2022-02-23 00:00:00+00:00,7.25,2022-02-24 11:50:00+00:00, ,N,2022-02-24 11:48:10+00:00,EA
2022-02-25 11:38:00+00:00,2022-02-24 00:00:00+00:00,11.46,2022-02-25 11:50:00+00:00, ,N,2022-02-25 11:48:15+00:00,EA
2022-02-26 11:38:00+00:00,2022-02-25 00:00:00+00:00,4.67,2022-02-26 11:50:00+00:00, ,N,2022-02-26 11:48:09+00:00,EA
2022-02-27 11:38:00+00:00,2022-02-26 00:00:00+00:00,-0.23,2022-02-27 11:50:00+00:00, ,N,2022-02-27 11:48:10+00:00,EA
2022-02-28 11:38:00+00:00,2022-02-27 00:00:00+00:00,9.94,2022-02-28 11:50:00+00:00, ,N,2022-02-28 11:48:28+00:00,EA
2022-03-01 11:38:00+00:00,2022-02-28 00:00:00+00:00,10.34,2022-03-01 11:50:00+00:00, ,N,2022-03-01 11:48:10+00:00,EA
2022-03-02 11:38:00+00:00,2022-03-01 00:00:00+00:00,6.14,2022-03-02 11:50:00+00:00, ,N,2022-03-02 11:48:09+00:00,EA
2022-03-03 11:38:00+00:00,2022-03-02 00:00:00+00:00,11.52,2022-03-03 11:50:00+00:00, ,N,2022-03-03 11:48:11+00:00,EA
2022-03-04 11:38:00+00:00,2022-03-03 00:00:00+00:00,11.18,2022-03-04 11:50:00+00:00, ,N,2022-03-04 11:48:11+00:00,EA
2022-03-05 11:38:00+00:00,2022-03-04 00:00:00+00:00,6.82,2022-03-05 11:50:00+00:00, ,N,2022-03-05 11:48:10+00:00,EA
2022-03-06 11:38:00+00:00,2022-03-05 00:00:00+00:00,1.93,2022-03-06 11:50:00+00:00, ,N,2022-03-06 11:48:11+00:00,EA
2022-03-07 11:38:00+00:00,2022-03-06 00:00:00+00:00,15.41,2022-03-07 11:50:00+00:00, ,N,2022-03-07 11:48:12+00:00,EA
2022-03-08 11:38:00+00:00,2022-03-07 00:00:00+00:00,6.11,2022-03-08 11:50:00+00:00, ,N,2022-03-08 11:48:11+00:00,EA
2022-03-09 11:38:00+00:00,2022-03-08 00:00:00+00:00,8.69,2022-03-09 11:50:00+00:00, ,N,2022-03-09 11:48:11+00:00,EA
2022-03-10 11:38:00+00:00,2022-03-09 00:00:00+00:00,7.7,2022-03-10 11:50:00+00:00, ,N,2022-03-10 11:48:11+00:00,EA
2022-03-11 11:38:00+00:00,2022-03-10 00:00:00+00:00,7.96,2022-03-11 11:50:00+00:00, ,N,2022-03-11 11:48:17+00:00,EA
2022-03-12 11:38:00+00:00,2022-03-11 00:00:00+00:00,11.75,2022-03-12 11:50:00+00:00, ,N,2022-03-12 11:48:11+00:00,EA
2022-03-13 11:38:00+00:00,2022-03-12 00:00:00+00:00,6.23,2022-03-13 11:50:00+00:00, ,N,2022-03-13 11:48:11+00:00,EA
2022-03-14 11:38:00+00:00,2022-03-13 00:00:00+00:00,10.82,2022-03-14 11:50:00+00:00, ,N,2022-03-14 11:48:11+00:00,EA
2022-03-15 11:38:00+00:00,2022-03-14 00:00:00+00:00,6.83,2022-03-15 11:50:00+00:00, ,N,2022-03-15 11:48:11+00:00,EA
2022-03-16 11:38:00+00:00,2022-03-15 00:00:00+00:00,2.08,2022-03-16 11:50:00+00:00, ,N,2022-03-16 11:48:17+00:00,EA
2022-03-17 11:38:00+00:00,2022-03-16 00:00:00+00:00,9.97,2022-03-17 11:50:00+00:00, ,N,2022-03-17 11:48:11+00:00,EA
2022-03-18 11:38:00+00:00,2022-03-17 00:00:00+00:00,8.74,2022-03-18 11:50:00+00:00, ,N,2022-03-18 11:48:11+00:00,EA
2022-03-19 11:38:00+00:00,2022-03-18 00:00:00+00:00,6.2,2022-03-19 11:50:00+00:00, ,N,2022-03-19 11:48:11+00:00,EA
2022-03-20 11:38:00+00:00,2022-03-19 00:00:00+00:00,12.34,2022-03-20 11:50:00+00:00, ,N,2022-03-20 11:48:11+00:00,EA
2022-03-21 11:38:00+00:00,2022-03-20 00:00:00+00:00,7.12,2022-03-21 11:50:00+00:00, ,N,2022-03-21 11:48:11+00:00,EA
2022-03-22 11:38:00+00:00,2022-03-21 00:00:00+00:00,8.92,2022-03-22 11:50:00+00:00, ,N,2022-03-22 11:48:11+00:00,EA
2022-03-23 11:38:00+00:00,2022-03-22 00:00:00+00:00,12.33,2022-03-23 11:50:00+00:00, ,N,2022-03-23 11:48:11+00:00,EA
2022-03-24 11:38:00+00:00,2022-03-23 00:00:00+00:00,7.84,2022-03-24 11:50:00+00:00, ,N,2022-03-24 11:48:10+00:00,EA
2022-03-25 11:38:00+00:00,2022-03-24 00:00:00+00:00,7.93,2022-03-25 11:50:00+00:00, ,N,2022-03-25 11:48:10+00:00,EA
2022-03-26 11:38:00+00:00,2022-03-25 00:00:00+00:00,6.07,2022-03-27 10:50:00+00:00, ,N,2022-03-27 10:48:10+00:00,EA
2022-03-27 10:38:00+00:00,2022-03-26 00:00:00+00:00,3.99,2022-03-28 10:50:00+00:00, ,N,2022-03-28 10:48:10+00:00,EA
2022-03-28 10:38:00+00:00,2022-03-27 00:00:00+00:00,9.91,2022-03-29 10:50:00+00:00, ,N,2022-03-29 10:48:15+00:00,EA
2022-03-29 10:38:00+00:00,2022-03-28 00:00:00+00:00,2.95,2022-03-30 10:50:00+00:00, ,N,2022-03-30 10:48:11+00:00,EA
2022-03-30 10:38:00+00:00,2022-03-29 00:00:00+00:00,4.53,2022-03-31 10:50:00+00:00, ,N,2022-03-31 10:48:10+00:00,EA
2022-03-31 10:38:00+00:00,2022-03-30 00:00:00+00:00,9.27,2022-04-01 10:50:00+00:00, ,N,2022-04-01 10:48:09+00:00,EA
2022-04-01 10:38:00+00:00,2022-03-31 00:00:00+00:00,7.79,2022-04-02 10:50:00+00:00, ,N,2022-04-02 10:48:11+00:00,EA
2022-04-02 10:38:00+00:00,2022-04-01 00:00:00+00:00,13.1,2022-04-03 10:50:00+00:00, ,N,2022-04-03 10:48:15+00:00,EA
2022-04-03 10:38:00+00:00,2022-04-02 00:00:00+00:00,9.37,2022-04-04 10:50:00+00:00, ,N,2022-04-04 10:48:10+00:00,EA
2022-04-04 10:38:00+00:00,2022-04-03 00:00:00+00:00,5.1,2022-04-05 10:50:00+00:00, ,N,2022-04-05 10:48:09+00:00,EA
2022-04-05 10:38:00+00:00,2022-04-04 00:00:00+00:00,5.36,2022-04-06 10:50:00+00:00, ,N,2022-04-06 10:48:10+00:00,EA
2022-04-06 10:38:00+00:00,2022-04-05 00:00:00+00:00,14.15,2022-04-07 10:50:00+00:00, ,N,2022-04-07 10:48:10+00:00,EA
2022-04-07 10:38:00+00:00,2022-04-06 00:00:00+00:00,6.31,2022-04-08 10:50:00+00:00, ,N,2022-04-08 10:48:10+00:00,EA
2022-04-08 10:38:00+00:00,2022-04-07 00:00:00+00:00,6.8,2022-04-09 10:50:00+00:00, ,N,2022-04-09 10:48:11+00:00,EA
2022-04-09 10:38:00+00:00,2022-04-08 00:00:00+00:00,13.11,2022-04-10 10:50:00+00:00, ,N,2022-04-10 10:48:10+00:00,EA
2022-04-10 10:38:00+00:00,2022-04-09 00:00:00+00:00,8.52,2022-04-11 10:50:00+00:00, ,N,2022-04-11 10:48:11+00:00,EA
2022-04-11 10:38:00+00:00,2022-04-10 00:00:00+00:00,11.88,2022-04-12 10:50:00+00:00, ,N,2022-04-12 10:48:09+00:00,EA
2022-04-12 10:38:00+00:00,2022-04-11 00:00:00+00:00,6.03,2022-04-13 10:50:00+00:00, ,N,2022-04-13 10:48:10+00:00,EA
2022-04-13 10:38:00+00:00,2022-04-12 00:00:00+00:00,7.51,2022-04-14 10:50:00+00:00, ,N,2022-04-14 10:48:10+00:00,EA
2022-04-14 10:38:00+00:00,2022-04-13 00:00:00+00:00,11.04,2022-04-15 10:50:00+00:00, ,N,2022-04-15 10:48:10+00:00,EA
2022-04-15 10:38:00+00:00,2022-04-14 00:00:00+00:00,7.98,2022-04-16 10:50:00+00:00, ,N,2022-04-16 10:48:10+00:00,EA
2022-04-16 10:38:00+00:00,2022-04-15 00:00:00+00:00,12.76,2022-04-17 10:50:00+00:00, ,N,2022-04-17 10:48:10+00:00,EA
2022-04-17 10:38:00+00:00,2022-04-16 00:00:00+00:00,7.36,2022-04-18 10:50:00+00:00, ,N,2022-04-18 10:48:10+00:00,EA
2022-04-18 10:38:00+00:00,2022-04-17 00:00:00+00:00,9.03,2022-04-19 10:50:00+00:00, ,N,2022-04-19 10:48:11+00:00,EA
2022-04-19 10:38:00+00:00,2022-04-18 00:00:00+00:00,11.42,2022-04-20 10:50:00+00:00, ,N,2022-04-20 10:48:11+00:00,EA
2022-04-20 10:38:00+00:00,2022-04-19 00:00:00+00:00,10.78,2022-04-21 10:50:00+00:00, ,N,2022-04-21 10:48:10+00:00,EA
2022-04-21 10:38:00+00:00,2022-04-20 00:00:00+00:00,4.3,2022-04-22 10:50:00+00:00, ,N,2022-04-22 10:48:11+00:00,EA
2022-04-22 10:38:00+00:00,2022-04-21 00:00:00+00:00,16.88,2022-04-23 10:50:00+00:00, ,N,2022-04-23 10:48:11+00:00,EA
2022-04-23 10:38:00+00:00,2022-04-22 00:00:00+00:00,7.68,2022-04-24 10:50:00+00:00, ,N,2022-04-24 10:48:11+00:00,EA
2022-04-24 10:38:00+00:00,2022-04-23 00:00:00+00:00,11.95,2022-04-25 10:50:00+00:00, ,N,2022-04-25 10:48:10+00:00,EA
2022-04-25 10:38:00+00:00,2022-04-24 00:00:00+00:00,10.86,2022-04-26 10:50:00+00:00, ,N,2022-04-26 10:48:10+00:00,EA
2022-04-26 10:38:00+00:00,2022-04-25 00:00:00+00:00,10.63,2022-04-27 10:50:00+00:00, ,N,2022-04-27 10:48:15+00:00,EA
2022-04-27 10:38:00+00:00,2022-04-26 00:00:00+00:00,11.67,2022-04-28 10:50:00+00:00, ,N,2022-04-28 10:48:11+00:00,EA
2022-04-28 10:38:00+00:00,2022-04-27 00:00:00+00:00,6.01,2022-04-29 10:50:00+00:00, ,N,2022-04-29 10:48:10+00:00,EA
2022-04-29 10:38:00+00:00,2022-04-28 00:00:00+00:00,12.19,2022-04-30 10:50:00+00:00, ,N,2022-04-30 10:48:10+00:00,EA
2022-04-30 10:38:00+00:00,2022-04-29 00:00:00+00:00,16.45,2022-05-01 10:50:00+00:00, ,N,2022-05-01 10:48:10+00:00,EA
2022-05-01 10:38:00+00:00,2022-04-30 00:00:00+00:00,6.94,2022-05-02 10:50:00+00:00, ,N,2022-05-02 10:48:10+00:00,EA
2022-05-02 10:38:00+00:00,2022-05-01 00:00:00+00:00,3.46,2022-05-03 10:50:00+00:00, ,N,2022-05-03 10:48:11+00:00,EA
2022-05-03 10:38:00+00:00,2022-05-02 00:00:00+00:00,13.72,2022-05-04 10:50:00+00:00, ,N,2022-05-04 10:48:11+00:00,EA
2022-05-04 10:38:00+00:00,2022-05-03 00:00:00+00:00,14.17,2022-05-05 10:50:00+00:00, ,N,2022-05-05 10:48:10+00:00,EA
2022-05-05 10:38:00+00:00,2022-05-04 00:00:00+00:00,9.83,2022-05-06 10:50:00+00:00, ,N,2022-05-06 10:48:10+00:00,EA
2022-05-06 10:38:00+00:00,2022-05-05 00:00:00+00:00,6.86,2022-05-07 10:50:00+00:00, ,N,2022-05-07 10:48:09+00:00,EA
2022-05-07 10:38:00+00:00,2022-05-06 00:00:00+00:00,7.88,2022-05-08 10:50:00+00:00, ,N,2022-05-08 10:48:09+00:00,EA
2022-05-08 10:38:00+00:00,2022-05-07 00:00:00+00:00,3.81,2022-05-09 10:50:00+00:00, ,N,2022-05-09 10:48:09+00:00,EA
2022-05-09 10:38:00+00:00,2022-05-08 00:00:00+00:00,7.36,2022-05-10 10:50:00+00:00, ,N,2022-05-10 10:48:10+00:00,EA
2022-05-10 10:38:00+00:00,2022-05-09 00:00:00+00:00,12.97,2022-05-11 10:50:00+00:00, ,N,2022-05-11 10:48:09+00:00,EA
2022-05-11 10:38:00+00:00,2022-05-10 00:00:00+00:00,12.37,2022-05-12 10:50:00+00:00, ,N,2022-05-12 10:48:09+00:00,EA
2022-05-12 10:38:00+00:00,2022-05-11 00:00:00+00:00,-1.32,2022-05-13 10:50:00+00:00, ,N,2022-05-13 10:48:10+00:00,EA
2022-05-13 10:38:00+00:00,2022-05-12 00:00:00+00:00,10.18,2022-05-14 10:50:00+00:00, ,N,2022-05-14 10:48:10+00:00,EA
2022-05-14 10:38:00+00:00,2022-05-13 00:00:00+00:00,7.7,2022-05-15 10:50:00+00:00, ,N,2022-05-15 10:48:09+00:00,EA
2022-05-15 10:38:00+00:00,2022-05-14 00:00:00+00:00,4.8,2022-05-16 10:50:00+00:00, ,N,2022-05-16 10:48:09+00:00,EA
2022-05-16 10:38:00+00:00,2022-05-15 00:00:00+00:00,1.68,2022-05-17 10:50:00+00:00, ,N,2022-05-17 10:48:09+00:00,EA
2022-05-17 10:38:00+00:00,2022-05-16 00:00:00+00:00,2.18,2022-05-18 10:50:00+00:00, ,N,2022-05-18 10:48:09+00:00,EA
2022-05-18 10:38:00+00:00,2022-05-17 00:00:00+00:00,8.36,2022-05-19 10:50:00+00:00, ,N,2022-05-19 10:48:09+00:00,EA
2022-05-19 10:38:00+00:00,2022-05-18 00:00:00+00:00,7.37,2022-05-20 10:50:00+00:00, ,N,2022-05-20 10:48:09+00:00,EA
2022-05-20 10:38:00+00:00,2022-05-19 00:00:00+00:00,6.99,2022-05-21 10:50:00+00:00, ,N,2022-05-21 10:48:09+00:00,EA
2022-05-21 10:38:00+00:00,2022-05-20 00:00:00+00:00,7.11,2022-05-22 10:50:00+00:00, ,N,2022-05-22 10:48:09+00:00,EA
2022-05-22 10:38:00+00:00,2022-05-21 00:00:00+00:00,7.89,2022-05-23 10:50:00+00:00, ,N,2022-05-23 10:48:10+00:00,EA
2022-05-23 10:38:00+00:00,2022-05-22 00:00:00+00:00,10.47,2022-05-24 10:50:00+00:00, ,N,2022-05-24 10:48:09+00:00,EA
2022-05-24 10:38:00+00:00,2022-05-23 00:00:00+00:00,11.85,2022-05-25 10:50:00+00:00, ,N,2022-05-25 10:48:09+00:00,EA
2022-05-25 10:38:00+00:00,2022-05-24 00:00:00+00:00,3.86,2022-05-26 10:50:00+00:00, ,N,2022-05-26 10:48:09+00:00,EA
2022-05-26 10:38:00+00:00,2022-05-25 00:00:00+00:00,5.54,2022-05-27 10:50:00+00:00, ,N,2022-05-27 10:48:10+00:00,EA
2022-05-27 10:38:00+00:00,2022-05-26 00:00:00+00:00,5.0,2022-05-28 10:50:00+00:00, ,N,2022-05-28 10:48:10+00:00,EA
2022-05-28 10:38:00+00:00,2022-05-27 00:00:00+00:00,6.4,2022-06-01 10:46:01+00:00,L,N,2022-06-01 10:46:09+00:00,EA
2022-05-29 10:38:00+00:00,2022-05-28 00:00:00+00:00,10.09,2022-05-30 10:50:00+00:00, ,N,2022-05-30 10:48:09+00:00,EA
2022-05-30 10:38:00+00:00,2022-05-29 00:00:00+00:00,10.1,2022-05-31 10:50:00+00:00, ,N,2022-05-31 10:48:09+00:00,EA
2022-05-31 10:38:00+00:00,2022-05-30 00:00:00+00:00,11.23,2022-06-01 10:50:00+00:00, ,N,2022-06-01 10:48:09+00:00,EA
2022-06-01 10:38:00+00:00,2022-05-31 00:00:00+00:00,13.42,2022-06-02 10:50:00+00:00, ,N,2022-06-02 10:48:09+00:00,EA
2022-06-02 10:38:00+00:00,2022-06-01 00:00:00+00:00,10.79,2022-06-03 10:50:00+00:00, ,N,2022-06-03 10:48:09+00:00,EA
2022-06-03 10:38:00+00:00,2022-06-02 00:00:00+00:00,-0.07,2022-06-04 10:50:00+00:00, ,N,2022-06-04 10:48:10+00:00,EA
2022-06-04 10:38:00+00:00,2022-06-03 00:00:00+00:00,6.58,2022-06-05 10:50:00+00:00, ,N,2022-06-05 10:48:10+00:00,EA
2022-06-05 10:38:00+00:00,2022-06-04 00:00:00+00:00,2.97,2022-06-06 10:50:00+00:00, ,N,2022-06-06 10:48:09+00:00,EA
2022-06-06 10:38:00+00:00,2022-06-05 00:00:00+00:00,5.29,2022-06-07 10:50:00+00:00, ,N,2022-06-07 10:48:09+00:00,EA
2022-06-07 10:38:00+00:00,2022-06-06 00:00:00+00:00,8.79,2022-06-08 10:50:00+00:00, ,N,2022-06-08 10:48:09+00:00,EA
2022-06-08 10:38:00+00:00,2022-06-07 00:00:00+00:00,12.68,2022-06-09 10:50:00+00:00, ,N,2022-06-09 10:48:09+00:00,EA
2022-06-09 10:38:00+00:00,2022-06-08 00:00:00+00:00,9.05,2022-06-10 10:50:00+00:00, ,N,2022-06-10 10:48:09+00:00,EA
2022-06-10 10:38:00+00:00,2022-06-09 00:00:00+00:00,6.36,2022-06-11 10:50:00+00:00, ,N,2022-06-11 10:48:10+00:00,EA
2022-06-11 10:38:00+00:00,2022-06-10 00:00:00+00:00,5.15,2022-06-12 10:50:00+00:00, ,N,2022-06-12 10:48:10+00:00,EA
2022-06-12 10:38:00+00:00,2022-06-11 00:00:00+00:00,8.7,2022-06-13 10:50:00+00:00, ,N,2022-06-13 10:48:10+00:00,EA
2022-06-13 10:38:00+00:00,2022-06-12 00:00:00+00:00,2.81,2022-06-14 10:50:00+00:00, ,N,2022-06-14 10:48:09+00:00,EA
2022-06-14 10:38:00+00:00,2022-06-13 00:00:00+00:00,8.83,2022-06-15 10:50:00+00:00, ,N,2022-06-15 10:48:09+00:00,EA
2022-06-15 10:38:00+00:00,2022-06-14 00:00:00+00:00,10.96,2022-06-16 10:50:00+00:00, ,N,2022-06-16 10:48:10+00:00,EA
2022-06-16 10:38:00+00:00,2022-06-15 00:00:00+00:00,8.35,2022-06-17 10:50:00+00:00, ,N,2022-06-17 10:48:09+00:00,EA
2022-06-17 10:38:00+00:00,2022-06-16 00:00:00+00:00,5.8,2022-06-18 10:50:00+00:00, ,N,2022-06-18 10:48:09+00:00,EA
2022-06-18 10:38:00+00:00,2022-06-17 00:00:00+00:00,6.72,2022-06-19 10:50:00+00:00, ,N,2022-06-19 10:48:10+00:00,EA
2022-06-19 10:38:00+00:00,2022-06-18 00:00:00+00:00,7.27,2022-06-20 10:50:00+00:00, ,N,2022-06-20 10:48:09+00:00,EA
2022-06-20 10:38:00+00:00,2022-06-19 00:00:00+00:00,14.91,2022-06-21 10:50:00+00:00, ,N,2022-06-21 10:48:09+00:00,EA
2022-06-21 10:38:00+00:00,2022-06-20 00:00:00+00:00,10.76,2022-06-22 10:50:00+00:00, ,N,2022-06-22 10:48:09+00:00,EA
2022-06-22 10:38:00+00:00,2022-06-21 00:00:00+00:00,11.89,2022-06-23 10:50:00+00:00, ,N,2022-06-23 10:48:09+00:00,EA
2022-06-23 10:38:00+00:00,2022-06-22 00:00:00+00:00,10.64,2022-06-24 10:50:00+00:00, ,N,2022-06-24 10:48:10+00:00,EA
2022-06-24 10:38:00+00:00,2022-06-23 00:00:00+00:00,13.62,2022-06-25 10:50:00+00:00, ,N,2022-06-25 10:48:09+00:00,EA
2022-06-25 10:38:00+00:00,2022-06-24 00:00:00+00:00,11.51,2022-06-26 10:50:00+00:00, ,N,2022-06-26 10:48:10+00:00,EA
